idego,idalter,actiondate,dailycontactcount
263,1366,2014-Sep-06,1
480,912,2013-Mar-20,1
691,976,2011-Jun-21,1
987,989,2013-Apr-17,3
159,161,2014-Mar-10,1
807,635,2013-Oct-07,1
1600,704,2013-Oct-28,1
1181,1680,2015-Mar-21,3
1561,1239,2013-Jan-03,1
225,219,2013-Sep-03,1
161,1331,2015-Jul-04,1
758,720,2014-Apr-22,1
1467,356,2012-Nov-21,3
693,746,2015-Jan-07,1
206,161,2013-May-09,1
790,782,2014-Jun-01,1
234,230,2013-May-19,1
807,587,2013-Apr-18,1
208,1053,2012-Sep-21,1
1285,1064,2014-Oct-05,1
773,751,2013-Mar-17,2
287,288,2016-Mar-14,1
342,400,2013-May-15,1
693,945,2013-Feb-17,7
564,750,2014-Jun-12,1
959,1396,2014-Apr-15,1
607,584,2014-Jul-30,1
702,689,2012-Dec-17,1
1600,806,2013-Mar-15,1
579,807,2014-Jan-29,1
945,709,2012-Nov-28,1
1458,418,2013-Nov-11,1
219,199,2012-Jul-31,2
702,709,2014-Sep-15,1
344,393,2012-Sep-21,4
89,92,2015-Dec-18,1
1266,1240,2014-Feb-17,1
588,1039,2015-May-05,1
751,845,2013-Jan-28,1
750,827,2014-Nov-18,1
836,788,2013-Oct-22,2
606,1027,2013-Oct-31,1
619,586,2014-Apr-10,1
1317,1458,2015-Apr-30,1
257,206,2012-Nov-15,1
331,403,2014-Jan-11,1
758,916,2014-Apr-09,1
689,916,2014-May-20,5
207,1458,2014-Nov-20,1
959,509,2013-Apr-20,1
740,775,2015-Mar-23,1
579,807,2012-Nov-05,2
193,175,2013-May-23,2
229,234,2012-Feb-09,1
244,235,2014-Jul-18,1
1657,942,2013-Dec-03,2
1379,1253,2014-Nov-27,3
588,572,2012-Dec-08,1
1619,663,2015-Apr-10,1
1456,337,2012-Oct-12,1
399,343,2015-Jan-19,1
771,806,2013-Oct-30,1
619,592,2014-Jan-08,1
343,399,2014-Feb-17,1
417,1335,2013-Aug-08,3
1326,1334,2014-Feb-03,1
410,445,2014-Dec-02,1
1135,1331,2015-Feb-26,1
1600,720,2014-May-03,1
1154,257,2013-Mar-18,1
881,1065,2013-Oct-18,1
572,584,2015-Jun-29,2
170,185,2013-Jun-09,1
563,1376,2014-Nov-27,2
635,469,2012-Sep-19,1
703,806,2014-Nov-24,1
689,737,2014-May-22,3
178,226,2014-Jul-13,1
1490,533,2012-Dec-04,2
226,170,2013-Sep-30,5
759,694,2015-Mar-27,1
877,994,2014-Feb-18,1
406,44,2014-May-25,1
259,1332,2012-Dec-23,2
693,696,2015-Dec-21,1
1317,203,2015-Dec-04,1
204,203,2012-Dec-27,1
1575,578,2013-May-19,1
817,827,2014-Jan-01,1
763,740,2012-Dec-19,1
393,638,2012-Oct-12,1
875,701,2013-Jan-04,1
874,731,2013-Jun-08,1
1101,1006,2013-Dec-24,1
1112,1001,2013-Oct-05,1
1653,1654,2012-Oct-05,1
259,263,2012-Sep-17,5
335,330,2012-Sep-13,1
572,1032,2012-Sep-22,1
999,828,2015-Aug-19,1
1473,499,2012-Nov-12,2
1177,1170,2013-Jan-25,1
884,743,2013-Jun-27,1
1410,1270,2015-May-05,9
431,423,2013-Sep-23,1
693,758,2014-Jul-07,1
828,1686,2013-Aug-04,1
595,564,2012-Oct-22,2
806,876,2014-Apr-12,1
1529,1738,2014-Sep-15,1
1467,337,2013-Feb-15,6
269,40,2013-Jun-19,2
533,431,2013-May-25,1
570,1090,2013-Apr-19,1
64,71,2011-Jan-29,2
538,686,2012-Oct-10,5
1312,782,2012-Sep-07,26
406,959,2013-Sep-17,2
1101,1210,2012-Dec-16,2
345,335,2014-Dec-25,1
1097,1015,2013-Oct-06,1
771,916,2014-May-29,1
761,751,2014-Mar-08,4
693,875,2015-Dec-28,1
87,108,2014-Mar-22,1
1011,1006,2013-Mar-12,15
1251,1259,2015-Apr-11,6
450,444,2013-Oct-03,1
1094,620,2012-Jun-03,1
916,775,2013-Oct-01,1
1314,1270,2013-Jun-27,2
202,216,2013-Dec-26,1
875,771,2013-May-19,1
696,806,2012-Dec-08,1
709,771,2012-Oct-01,1
587,469,2013-Jan-28,6
257,204,2014-May-16,1
613,1055,2012-Jul-27,1
333,1467,2015-Feb-13,1
780,713,2013-Jan-10,8
686,579,2013-Mar-13,1
258,1135,2012-Nov-06,3
1213,1170,2013-Dec-17,1
676,258,2012-Sep-26,2
942,805,2013-Jan-09,1
1272,1068,2015-May-18,1
105,80,2013-Sep-14,1
393,332,2013-Oct-28,1
875,740,2013-Nov-06,2
894,865,2013-May-18,1
1397,42,2015-Mar-09,2
875,713,2013-Oct-24,1
788,790,2013-Aug-04,5
806,743,2012-Oct-03,1
581,606,2012-Dec-13,1
344,332,2015-Apr-21,1
576,564,2014-Sep-09,1
331,1467,2012-Oct-28,2
790,1312,2012-Nov-09,2
57,67,2011-Apr-05,2
158,159,2012-Nov-22,1
171,176,2012-Dec-05,7
1571,1184,2013-Oct-06,1
344,342,2013-Aug-07,1
295,680,2016-Jan-08,1
693,771,2015-Apr-21,1
90,41,2013-Oct-25,1
179,174,2012-Sep-16,1
533,412,2013-Mar-27,2
203,1143,2014-May-15,1
1248,1243,2015-Jan-01,1
170,241,2012-Oct-23,3
1729,1170,2013-Dec-04,1
447,449,2012-Nov-06,1
592,569,2013-May-23,2
588,612,2015-Feb-19,1
220,211,2013-Dec-30,1
1038,572,2014-Nov-24,1
39,38,2013-Jun-14,4
190,241,2013-Sep-23,1
219,234,2013-Jan-10,1
1198,1177,2014-Dec-21,3
578,807,2014-Apr-03,3
727,876,2014-Sep-18,1
1239,1561,2012-Oct-27,2
220,215,2015-Jun-04,2
704,702,2013-Jul-10,1
724,874,2014-Feb-18,1
398,656,2015-Jun-27,2
655,769,2013-Feb-05,6
572,588,2015-Apr-20,1
741,725,2012-Dec-14,1
744,689,2012-Nov-23,1
234,1678,2013-Mar-30,1
605,584,2015-Jan-22,1
342,399,2014-Jan-08,1
360,361,2014-Dec-16,2
879,818,2014-Mar-11,1
701,1600,2013-Feb-04,3
1600,806,2015-Jun-04,1
807,538,2012-Dec-08,12
864,799,2012-Dec-10,1
916,702,2012-Nov-21,2
1467,344,2015-Sep-23,1
1312,790,2014-May-27,1
191,174,2013-Jun-03,1
592,1376,2014-Mar-27,5
444,440,2012-Dec-16,1
593,616,2013-May-09,1
736,709,2014-Mar-17,1
443,998,2013-Apr-29,1
704,720,2015-Feb-14,2
693,806,2012-Oct-18,8
71,57,2011-Dec-25,2
750,640,2014-Mar-01,1
751,790,2013-Mar-20,2
1063,896,2013-Nov-15,1
709,758,2014-Jun-07,1
779,790,2013-Sep-24,1
824,640,2012-Oct-10,1
702,775,2013-Mar-15,1
158,203,2014-Jun-11,4
219,233,2012-Oct-24,1
1305,1710,2013-Feb-15,1
578,579,2014-Jun-11,2
332,345,2015-Feb-27,1
827,859,2013-Oct-22,1
689,1600,2013-May-13,3
1184,1729,2013-Oct-23,1
758,771,2013-Apr-30,1
640,818,2014-Nov-13,1
709,775,2012-Oct-25,1
693,720,2015-Jan-11,1
693,916,2014-Oct-21,2
207,205,2012-Dec-13,1
731,704,2013-Dec-29,1
1467,344,2015-May-19,1
758,874,2012-Dec-21,2
548,683,2014-Oct-29,1
634,706,2013-Apr-20,4
798,1006,2013-Nov-03,1
333,403,2015-Jan-26,2
862,858,2012-Nov-26,1
1306,648,2013-Apr-19,1
827,817,2013-Jun-15,2
983,1668,2014-Sep-28,2
1061,879,2013-Apr-02,2
741,713,2013-Oct-09,1
737,695,2015-Jul-08,1
916,689,2013-Feb-15,1
1112,1011,2013-Feb-07,1
701,703,2013-Apr-17,1
222,230,2013-Jan-08,1
638,400,2013-Jan-06,2
230,212,2013-Sep-30,2
613,1055,2015-Aug-19,1
241,190,2014-Nov-28,1
740,806,2015-May-12,3
859,817,2013-Dec-18,1
945,916,2015-Nov-06,1
951,958,2013-Jan-15,1
257,1334,2013-Jan-12,2
1015,1011,2015-Feb-05,2
161,207,2014-Feb-05,1
706,642,2012-Oct-01,6
572,606,2015-Apr-18,1
161,203,2013-Dec-06,1
1038,612,2015-Apr-29,2
1312,790,2012-Dec-29,2
342,400,2013-Jan-01,1
827,592,2013-Apr-25,1
110,82,2013-May-24,1
826,1429,2015-Nov-19,1
205,257,2012-Sep-28,1
790,869,2013-Oct-16,10
1022,1001,2013-Aug-25,1
583,565,2014-Dec-09,3
1151,1111,2013-Mar-28,1
635,632,2013-Mar-01,2
331,337,2013-Jul-21,1
1061,565,2015-Jul-20,1
701,689,2012-Dec-22,1
857,949,2013-Jan-03,1
344,400,2013-Jun-04,1
696,741,2012-Nov-21,1
771,1600,2014-Jun-04,1
624,1055,2015-Jul-14,1
876,703,2013-Nov-05,1
741,709,2012-Oct-04,5
724,689,2013-Oct-22,1
1453,1061,2014-Feb-06,2
640,564,2015-Jan-22,1
689,693,2014-Jul-05,1
533,664,2013-Mar-12,1
727,693,2013-Mar-26,1
1331,159,2012-Nov-24,1
820,859,2015-Apr-02,1
1410,1379,2012-Oct-07,5
827,597,2013-Jun-11,1
798,1001,2013-May-09,4
406,963,2015-Jun-27,1
949,857,2013-Jan-03,1
1064,1300,2012-Oct-26,2
342,334,2014-May-11,1
342,399,2015-Jun-07,1
564,859,2013-Jun-08,1
40,41,2015-May-10,1
626,538,2012-Dec-04,4
740,876,2013-Apr-21,1
39,269,2013-Apr-29,1
827,640,2014-Oct-14,3
983,1308,2015-Nov-23,1
884,916,2013-Feb-28,1
104,653,2012-Nov-06,2
876,759,2012-Oct-16,1
791,815,2012-Sep-26,2
93,84,2013-May-30,1
1457,400,2014-Sep-30,1
69,67,2011-Jul-27,2
399,393,2014-Feb-18,1
701,687,2013-Dec-22,1
1729,1183,2013-Jan-22,1
263,1053,2013-Sep-17,1
418,1366,2013-Sep-08,1
1467,399,2013-Nov-03,3
161,207,2013-Oct-25,2
838,814,2013-Dec-25,1
620,591,2012-Sep-26,2
806,757,2014-Aug-05,1
684,659,2013-Sep-28,1
731,771,2013-Apr-21,1
1366,206,2014-Aug-10,2
578,579,2013-Oct-31,2
945,875,2012-Dec-23,1
334,1467,2014-Apr-01,1
1135,1373,2012-Oct-29,1
682,431,2014-Aug-01,5
845,773,2015-May-16,1
330,334,2014-Sep-15,1
400,393,2012-Sep-18,1
406,98,2013-Dec-31,1
740,876,2015-May-07,2
642,579,2013-Sep-12,1
258,1135,2014-Dec-25,1
1183,1181,2014-May-28,1
835,858,2013-Jun-09,1
226,233,2015-Dec-01,1
740,696,2015-May-01,1
682,431,2013-Dec-02,1
1453,881,2014-Mar-27,1
308,300,2014-Dec-25,1
1328,1053,2013-Jun-19,1
1311,1710,2013-Dec-04,1
1656,1737,2013-Apr-27,1
431,663,2014-May-16,1
1006,1011,2015-Jun-04,1
818,750,2012-Nov-13,1
335,1467,2014-Jul-14,1
200,1676,2013-Jan-14,3
593,597,2014-Jan-08,1
743,771,2012-Oct-04,1
771,689,2015-Nov-30,1
740,709,2013-Feb-28,1
1678,213,2013-Jun-18,1
1326,203,2013-Nov-12,1
734,726,2013-Jun-27,1
1335,417,2013-Sep-25,1
703,740,2013-May-08,2
827,640,2014-Jun-17,1
1047,204,2013-Nov-06,3
689,806,2012-Oct-25,2
159,1053,2012-Dec-21,8
1268,1311,2014-Jun-27,1
1255,1268,2015-Sep-20,1
740,703,2013-May-28,1
601,1032,2011-Oct-16,2
758,701,2015-Feb-04,1
836,788,2015-May-16,1
605,927,2013-Jan-01,1
565,564,2014-Nov-21,1
340,400,2014-Jan-22,1
213,234,2015-Jan-15,1
601,1032,2013-Sep-24,2
421,416,2014-Jun-02,3
225,234,2014-Oct-13,1
1534,1648,2013-Apr-17,1
709,1600,2012-Dec-12,1
204,158,2013-Jan-02,1
1248,1311,2012-Oct-16,1
56,57,2011-Aug-16,2
208,205,2013-Jul-11,5
337,1467,2015-Feb-15,1
344,331,2012-Nov-19,1
263,161,2013-Sep-15,1
1015,1001,2013-Oct-29,1
734,702,2013-Apr-01,3
759,712,2013-Apr-15,1
1047,1366,2013-Jun-03,1
606,611,2012-Oct-16,1
857,805,2012-Dec-15,6
335,342,2013-Dec-28,1
759,763,2015-Apr-20,1
693,687,2015-Jul-29,1
697,702,2013-Feb-09,1
701,771,2014-Oct-27,2
693,875,2013-Jul-28,1
1001,1115,2013-Mar-25,1
771,731,2013-Jun-07,1
1036,444,2013-Dec-06,1
619,596,2014-Sep-06,1
1223,1006,2012-Sep-20,3
875,689,2013-Jan-09,1
864,885,2014-Jul-11,1
359,256,2016-Jan-10,1
995,1592,2014-Jan-30,3
1006,1015,2015-Aug-21,3
1239,1315,2013-Dec-18,1
93,110,2013-Dec-04,2
330,1468,2014-Apr-04,1
790,869,2013-May-19,1
783,751,2012-Sep-13,6
447,558,2012-Oct-11,1
783,869,2012-Dec-19,11
737,703,2014-Oct-16,1
757,945,2013-Dec-19,1
790,782,2012-Oct-17,1
1266,1270,2013-May-03,2
640,827,2013-Nov-03,4
1285,1068,2012-Sep-18,1
1525,1652,2014-Jun-11,1
827,564,2012-Dec-05,5
639,357,2015-Jun-28,3
703,716,2015-Jan-05,1
716,693,2015-Apr-23,1
772,480,2012-Oct-31,1
807,478,2013-Feb-28,1
1649,1738,2012-Oct-21,1
693,740,2015-Aug-02,1
750,616,2013-Nov-19,1
215,220,2013-Jun-04,1
769,662,2012-Oct-16,2
536,835,2012-Aug-08,1
916,709,2013-Oct-08,1
1547,1737,2013-Jan-08,1
1326,257,2015-Sep-28,1
656,679,2013-Nov-04,1
563,576,2015-Sep-16,1
693,694,2014-May-17,1
690,706,2013-Jun-14,1
684,401,2012-Sep-22,8
204,418,2012-Oct-17,1
875,884,2013-Jan-10,4
1015,1102,2013-Jun-02,1
1376,586,2014-Nov-27,1
780,709,2014-Apr-01,1
1457,335,2014-May-01,4
945,716,2014-Nov-16,1
721,709,2014-Apr-11,1
771,806,2015-Nov-30,1
771,757,2013-Feb-22,2
400,399,2013-Oct-22,2
798,1101,2014-May-04,1
1710,1239,2013-Feb-15,1
701,689,2012-Nov-28,2
333,344,2014-Mar-27,1
808,788,2012-Dec-01,1
1171,1213,2014-Mar-12,3
759,916,2014-Mar-14,1
1239,1561,2012-Dec-23,1
184,174,2013-Nov-25,1
807,632,2012-Nov-10,10
274,197,2014-Apr-06,1
57,71,2010-Sep-30,3
592,595,2014-Jun-01,1
234,225,2012-Sep-25,1
1600,693,2012-Dec-11,1
624,613,2012-Apr-07,1
592,609,2016-Jan-09,1
344,638,2014-Jun-25,1
564,827,2015-Apr-22,1
576,1453,2014-Jun-19,1
499,537,2013-Apr-23,1
171,169,2012-Oct-19,1
694,759,2014-Nov-01,1
212,234,2015-Aug-14,1
818,596,2015-Jan-10,2
696,884,2012-Oct-25,1
884,693,2013-Jul-16,3
572,1055,2014-Nov-21,1
682,459,2015-Mar-29,1
632,579,2015-Jun-24,1
613,572,2011-Aug-07,1
777,912,2012-Jun-16,1
1326,1334,2013-Aug-13,1
159,263,2013-Jan-21,11
587,538,2013-Jul-07,1
1738,1530,2012-Oct-18,3
863,885,2014-Jan-11,1
1186,1180,2013-Jun-12,3
1213,1571,2014-Mar-05,1
758,713,2013-May-18,1
1239,1710,2014-May-20,1
1736,1658,2013-Oct-29,5
64,71,2011-Jan-06,1
1097,1105,2013-Mar-20,4
398,656,2013-Nov-05,4
1112,1006,2013-Apr-12,1
859,750,2013-Mar-30,1
204,258,2013-Apr-25,1
104,648,2013-Jan-06,3
1453,859,2015-Jan-15,1
340,638,2013-Jan-05,2
204,1084,2012-Nov-27,1
161,205,2015-Apr-22,1
399,343,2015-Dec-18,1
564,576,2014-Aug-15,1
806,701,2012-Nov-29,3
1147,876,2014-May-22,1
811,556,2014-Mar-15,1
1467,356,2012-Oct-24,1
758,757,2013-Sep-29,9
1255,1260,2013-Aug-02,1
1171,1570,2012-Dec-31,1
703,689,2015-Jan-07,1
696,726,2013-Sep-24,1
1560,632,2013-Mar-17,1
726,694,2013-Apr-28,1
665,548,2014-Jul-07,1
959,1335,2012-Sep-22,2
1044,1686,2014-Jan-04,3
258,676,2012-Nov-25,1
220,219,2014-May-16,1
179,176,2013-Sep-10,1
693,771,2013-Oct-24,1
828,803,2014-Apr-03,1
1623,361,2015-Jun-23,1
357,399,2014-Jun-09,1
605,581,2014-Dec-26,1
344,638,2013-Jul-04,3
381,1623,2016-May-05,1
158,203,2013-Mar-08,3
1328,257,2014-May-29,1
1285,1080,2012-Nov-13,3
676,1053,2014-Mar-12,6
639,393,2014-Jan-16,1
694,724,2012-Dec-31,6
860,823,2013-Sep-30,5
592,609,2015-Aug-13,1
1534,1666,2016-Jan-14,1
257,1053,2015-Oct-11,1
783,1312,2012-Sep-25,5
959,406,2012-Nov-26,1
859,817,2013-Nov-04,1
1326,1366,2015-Aug-25,1
1366,203,2015-Apr-06,1
807,578,2013-Jan-22,1
418,262,2013-May-02,4
443,987,2013-May-05,1
541,1396,2014-Jun-14,1
1539,1538,2012-Jan-31,1
702,709,2013-Mar-12,1
1210,995,2014-Sep-16,2
344,340,2014-Jun-22,1
750,589,2015-Sep-19,1
226,215,2013-Sep-30,5
638,639,2015-Feb-13,1
817,859,2013-Dec-30,1
1006,1011,2014-Oct-11,1
1571,1186,2015-May-05,2
884,689,2013-Apr-18,1
806,875,2014-Sep-21,2
1037,818,2014-Sep-26,1
1198,1193,2013-Dec-26,3
335,638,2013-Mar-10,5
588,1032,2013-Nov-19,1
1115,1097,2013-Apr-30,2
702,689,2014-Mar-15,1
226,220,2014-Aug-24,1
807,538,2013-Mar-04,1
713,759,2013-Apr-16,1
740,1147,2015-Jul-05,1
676,672,2014-May-29,1
417,1335,2012-Nov-30,2
693,771,2015-Jan-05,2
1080,1069,2013-Apr-27,1
533,664,2012-Sep-20,1
1334,1366,2013-May-25,1
1118,1144,2015-Nov-04,1
331,335,2015-Dec-12,1
579,807,2013-Aug-07,2
995,1107,2013-Mar-28,1
241,215,2015-Jan-09,1
771,705,2014-Oct-10,1
449,461,2014-Dec-25,2
80,84,2015-Apr-25,1
601,1032,2012-Jan-29,2
829,1061,2013-Nov-26,1
726,916,2014-Oct-01,1
682,416,2014-Mar-18,1
820,980,2013-Jul-06,1
158,203,2012-Oct-10,3
437,403,2013-Mar-05,1
1109,1101,2012-Sep-29,3
831,860,2015-May-30,1
204,205,2012-Dec-04,1
1331,1332,2015-Dec-15,1
258,1458,2013-Nov-11,2
215,220,2014-May-30,2
39,42,2013-May-02,1
1118,951,2013-Jun-16,2
703,771,2014-Nov-28,2
1366,257,2014-May-16,1
1184,1570,2014-Jan-29,1
1006,1015,2013-Oct-12,16
635,538,2012-Oct-04,3
721,726,2014-Jun-21,3
676,1047,2012-Oct-15,2
703,771,2013-Aug-01,2
808,845,2013-Mar-10,1
1112,1290,2013-Mar-23,1
625,398,2014-Sep-20,2
759,704,2015-Jul-02,1
374,1659,2011-Dec-01,6
782,1312,2012-Dec-13,1
205,204,2014-Jul-29,1
1022,1112,2013-Apr-24,1
1135,161,2013-Jul-29,1
693,689,2014-Oct-21,1
1458,207,2014-Nov-23,1
564,1376,2014-Jun-07,1
234,225,2013-Jun-29,1
884,702,2013-Jul-31,1
1101,1109,2013-May-21,1
1654,1648,2016-Feb-13,1
700,1320,2013-Jun-07,1
818,565,2014-Mar-19,1
616,1061,2012-Nov-03,3
229,234,2012-Jan-04,1
1556,1186,2012-Nov-12,1
1561,1339,2015-Apr-17,1
703,876,2014-Sep-30,1
1457,399,2014-Jan-11,1
690,772,2014-Jul-17,1
334,403,2013-Jan-24,1
1088,203,2013-Oct-29,1
206,1326,2015-Jun-30,1
426,39,2014-Oct-27,2
696,740,2014-Aug-18,1
693,731,2015-May-05,2
592,824,2014-Sep-29,1
806,771,2014-May-01,1
1467,393,2012-Sep-29,1
1467,333,2014-Mar-22,1
734,743,2014-Mar-10,1
869,815,2012-Dec-02,5
220,223,2014-Mar-15,1
1312,788,2013-Mar-28,1
1032,1014,2013-Apr-23,3
357,330,2013-Mar-12,1
258,1458,2013-Jun-23,2
1600,743,2012-Dec-22,1
220,182,2013-Feb-21,1
913,499,2012-Dec-24,1
1317,258,2013-Dec-29,1
790,751,2013-Apr-24,1
1097,1115,2013-May-15,1
398,679,2016-Jan-25,1
431,663,2014-May-05,1
713,689,2014-Oct-12,2
579,807,2013-Nov-05,10
769,655,2012-Oct-02,5
207,204,2013-Dec-16,2
579,538,2013-Mar-01,1
838,942,2012-Dec-23,3
731,713,2014-Apr-01,1
783,768,2012-Sep-28,2
344,333,2015-Aug-25,1
222,1678,2013-Oct-27,1
694,702,2013-Mar-26,1
1600,763,2015-Nov-12,1
564,640,2013-Nov-02,1
827,818,2012-Oct-07,1
827,564,2014-Sep-18,1
859,640,2012-Nov-03,3
1001,1022,2013-Jun-27,1
1011,1020,2012-Nov-19,1
579,807,2013-Mar-10,9
258,203,2014-Apr-13,1
1380,1349,2014-Mar-28,2
857,942,2012-Nov-16,1
693,740,2013-Jun-13,1
712,689,2014-Jun-05,2
579,937,2012-Aug-26,1
158,1326,2013-Nov-12,3
773,774,2012-Oct-18,2
499,811,2012-Nov-15,7
340,342,2014-Jul-13,3
679,656,2013-Apr-21,2
686,587,2013-Mar-18,2
864,883,2013-Jun-21,1
344,399,2015-Aug-13,1
1006,1020,2012-Dec-21,2
175,189,2013-Nov-19,1
1458,1320,2013-Jan-24,1
