idego,idalter,actiondate,dailycontactcount
1177,1171,2013-May-05,2
1270,1240,2014-Jan-02,1
979,1018,2014-Jun-24,1
1328,418,2013-Nov-17,1
909,976,2013-Oct-27,1
1158,1023,2015-Dec-23,1
638,1467,2013-Mar-11,1
703,945,2012-Oct-08,1
603,660,2014-Dec-05,1
607,613,2015-Feb-21,2
1315,1379,2015-Dec-26,1
1467,403,2014-Apr-01,1
682,659,2014-Oct-30,1
694,743,2012-Oct-27,1
170,169,2012-Nov-03,6
207,1458,2013-Jul-23,1
204,672,2013-Nov-29,1
1600,709,2013-Jan-05,2
625,404,2014-Nov-10,10
687,689,2015-Jan-08,2
263,259,2013-Aug-25,1
782,1312,2013-Mar-11,1
1248,1239,2014-Aug-05,2
344,332,2013-May-27,1
39,1335,2013-Mar-06,1
431,421,2013-Jan-13,1
1467,331,2012-Nov-03,1
591,572,2016-Jan-08,1
203,257,2012-Nov-20,2
1331,158,2013-Mar-31,2
788,790,2013-Mar-25,1
881,1061,2013-Jul-31,1
620,591,2012-Dec-01,2
528,527,2015-May-15,2
206,259,2015-Jun-30,1
330,344,2014-Apr-11,1
607,605,2015-Mar-26,1
398,625,2014-May-04,1
331,344,2012-Oct-26,2
1656,1658,2013-Apr-07,2
423,679,2012-Nov-13,2
564,750,2014-Aug-08,1
564,818,2013-Sep-20,1
1065,609,2014-Oct-18,1
869,790,2014-Mar-31,1
556,499,2013-Jun-07,1
524,528,2015-Oct-22,1
685,684,2015-Jan-07,1
758,1149,2012-Oct-27,1
190,215,2014-Oct-16,1
57,58,2011-Sep-28,1
1638,799,2014-Apr-16,1
219,212,2012-Nov-25,1
864,1657,2013-Jun-18,2
869,1085,2013-Jan-02,2
703,737,2013-Mar-08,2
751,788,2012-Oct-15,3
344,1467,2014-May-01,1
578,909,2013-Nov-02,1
579,976,2015-Sep-17,1
330,1456,2012-Sep-28,2
750,597,2014-May-23,1
625,421,2015-Jul-25,1
220,233,2013-Feb-23,1
187,226,2012-Aug-22,6
1539,1538,2012-Oct-11,1
1678,234,2013-Jun-10,1
721,709,2013-Jun-10,1
1376,1453,2014-Dec-17,6
170,176,2013-Oct-21,2
709,780,2013-Oct-17,5
579,635,2015-May-25,1
1328,1332,2014-Sep-18,1
592,827,2013-Jan-09,2
263,672,2014-Jun-27,1
744,702,2012-Sep-06,1
1345,1379,2013-Jan-21,1
790,815,2015-Jun-05,1
41,1335,2013-Jul-24,4
604,584,2015-Oct-26,1
758,740,2014-Oct-08,1
1154,1088,2013-Dec-07,1
1239,1236,2013-Dec-25,1
1545,1523,2014-Nov-14,1
229,222,2013-Mar-28,1
709,716,2014-Feb-02,1
1525,1546,2013-May-26,1
71,67,2011-Jan-09,2
1053,257,2013-May-03,1
572,606,2013-Jul-09,1
440,523,2012-Oct-28,2
1088,1332,2013-Nov-03,3
605,1039,2015-Jul-14,2
586,750,2015-Mar-29,1
771,762,2014-May-20,1
774,782,2013-May-14,2
762,875,2013-Feb-23,1
1022,1001,2013-Sep-22,1
399,638,2014-May-04,1
1147,740,2014-May-18,1
231,197,2012-Nov-24,1
591,620,2012-Sep-07,2
269,39,2013-May-05,3
689,740,2013-Nov-05,1
43,1396,2014-May-06,1
1731,952,2014-Jun-08,6
230,233,2012-Sep-26,2
597,589,2014-Oct-04,2
344,351,2014-Oct-12,1
578,579,2013-Aug-16,4
1282,1347,2016-Mar-31,1
702,759,2013-Oct-15,1
1213,1178,2013-Dec-19,1
1634,863,2012-Oct-28,1
41,1397,2014-Jul-31,1
696,740,2013-May-20,2
1600,737,2014-Jul-16,1
1331,1084,2015-Oct-21,1
200,179,2011-Aug-19,1
659,679,2013-May-20,1
1337,97,2012-Nov-27,1
1570,1172,2015-Jan-19,2
1632,287,2015-Jul-01,1
82,84,2014-Dec-26,1
335,1457,2014-Mar-12,5
558,440,2014-Mar-13,6
1561,1239,2015-Sep-15,1
562,1376,2012-Oct-11,1
757,740,2012-Dec-19,3
1142,1112,2012-Dec-04,1
731,771,2013-Oct-07,1
1053,259,2014-Jun-09,1
751,845,2014-Jun-02,1
693,806,2014-May-25,2
295,682,2012-Aug-20,1
945,689,2014-Oct-11,1
57,56,2013-Aug-14,1
807,579,2013-Aug-17,1
593,563,2015-Feb-18,1
1038,606,2015-Oct-15,1
82,1337,2013-Jan-03,1
1248,1239,2013-Dec-19,1
1473,556,2012-Oct-26,1
229,234,2012-Jun-27,3
942,949,2015-Jul-07,1
724,740,2013-Feb-27,1
1065,1376,2013-Dec-24,1
827,592,2013-Jan-16,1
960,963,2014-Aug-17,2
158,203,2013-Dec-27,1
233,220,2014-Jun-29,1
1676,187,2012-Oct-03,5
356,337,2013-Aug-20,1
689,744,2013-Oct-31,2
211,231,2014-Jan-13,1
862,825,2015-Jan-20,3
213,227,2013-Jun-05,1
1270,1266,2012-Oct-18,1
583,576,2014-Dec-27,1
1083,1020,2012-Oct-09,1
54,65,2015-Jun-14,1
679,684,2013-Mar-29,1
578,469,2013-Sep-07,6
259,263,2013-Jun-24,2
1366,203,2012-Nov-06,1
751,869,2013-Mar-12,2
945,740,2014-Apr-29,3
1184,1729,2013-Oct-25,1
205,257,2014-Apr-21,1
1678,213,2015-Jan-15,2
1600,771,2013-Nov-04,4
215,235,2014-Oct-17,2
884,693,2013-Mar-29,1
579,578,2013-Apr-30,1
944,951,2013-May-09,1
441,450,2012-Dec-08,2
734,740,2015-Jan-10,2
751,790,2013-Apr-26,1
161,1320,2015-Dec-21,1
773,751,2012-Nov-03,1
1015,1001,2013-Oct-06,1
331,1467,2013-Jan-26,2
701,806,2013-May-15,1
604,588,2014-Nov-19,2
689,741,2013-Aug-05,5
1022,1103,2012-Nov-04,1
859,597,2014-Dec-22,2
1006,1011,2012-Oct-25,19
1006,1011,2015-Jun-20,3
689,702,2013-Jun-01,4
690,642,2013-Jun-22,8
703,875,2015-Apr-20,1
983,951,2013-Jun-27,5
1098,1115,2013-Mar-16,3
989,523,2013-Apr-13,1
84,110,2013-Nov-26,7
790,815,2013-Feb-12,3
619,563,2015-Aug-11,1
1561,1253,2012-Oct-17,1
562,599,2013-Sep-14,2
586,609,2015-Oct-05,2
712,702,2013-Apr-09,2
1473,570,2013-Apr-02,1
1275,662,2014-Jan-23,2
330,399,2013-Mar-05,2
761,821,2014-Dec-11,2
583,879,2013-Jan-15,1
499,894,2013-Apr-29,2
334,330,2014-Apr-10,2
862,1473,2012-Nov-07,4
798,1006,2014-Oct-01,2
1069,1064,2013-Jan-19,1
703,916,2012-Dec-04,2
431,684,2014-Jun-05,1
817,827,2015-Jul-07,1
702,693,2012-Sep-07,1
161,205,2015-Oct-07,1
807,912,2012-Aug-24,3
1213,1170,2014-Jan-21,1
916,709,2013-Jun-02,2
859,576,2014-Oct-30,1
1366,1326,2015-Nov-17,1
557,1473,2013-May-15,2
806,945,2016-Apr-01,1
339,638,2013-Jun-27,1
1158,607,2015-Dec-30,1
701,709,2012-Dec-13,6
807,538,2012-Sep-25,10
337,332,2014-Jan-25,2
716,741,2014-Feb-17,1
743,701,2013-Sep-15,1
827,564,2015-Jan-18,1
203,1326,2015-May-31,1
478,807,2014-Sep-02,1
278,287,2015-Apr-15,1
773,749,2014-Jun-21,2
1076,159,2013-Apr-09,1
89,116,2013-Dec-08,1
344,365,2014-Mar-27,1
93,100,2013-Dec-25,1
1042,528,2015-Jun-11,1
1320,1328,2013-Oct-15,1
469,690,2012-Sep-22,8
807,578,2013-Oct-24,1
597,750,2014-May-21,1
1084,207,2013-Jan-25,1
758,704,2014-Mar-13,2
877,857,2014-Sep-15,2
226,215,2012-Sep-04,4
1219,499,2013-Mar-08,3
845,791,2012-Oct-05,1
1022,1006,2012-Nov-13,1
731,1600,2012-Nov-27,1
418,1154,2014-Apr-09,1
775,740,2012-Nov-19,2
1101,1009,2015-Dec-11,1
1317,1328,2014-Oct-18,1
1467,393,2013-Apr-12,2
687,724,2013-Oct-30,7
1453,1376,2014-Feb-19,1
1382,1377,2015-Sep-09,1
207,204,2014-Feb-13,1
1084,206,2015-May-17,2
1001,1112,2013-Jan-14,4
783,815,2015-Jan-17,1
583,609,2015-May-02,1
1312,788,2013-Feb-03,1
84,93,2014-Sep-30,2
613,605,2015-May-08,1
57,56,2011-Jan-09,1
693,720,2014-May-24,1
806,689,2015-Jul-20,1
951,958,2013-Apr-29,2
909,579,2013-Jun-05,1
689,771,2013-Mar-14,1
1022,1001,2013-May-12,2
1658,1656,2014-Jul-17,1
1210,1115,2013-Mar-30,1
399,357,2012-Oct-09,1
205,159,2013-Jan-23,1
740,876,2013-Nov-08,2
909,976,2014-May-26,1
203,205,2014-Mar-06,5
998,523,2015-Aug-13,1
638,335,2013-Jun-04,2
1015,1138,2015-Nov-18,1
1676,199,2012-Sep-07,7
580,563,2015-Feb-03,3
226,219,2012-Oct-04,2
203,1366,2015-Sep-02,1
259,158,2014-Dec-25,1
203,257,2014-Mar-14,1
998,989,2014-Jan-01,1
1270,1286,2012-Feb-16,1
579,807,2013-Feb-05,2
790,808,2014-Jan-24,2
592,820,2014-May-28,1
869,1312,2013-Jan-31,1
1710,1243,2014-Jun-23,1
983,944,2014-Feb-05,1
817,564,2013-May-28,6
743,1600,2015-Jul-11,1
701,720,2015-Jan-17,1
1334,1366,2015-Nov-11,1
345,335,2015-May-13,1
687,709,2014-Apr-11,4
394,509,2014-Feb-19,1
1328,1331,2015-Apr-22,1
757,876,2014-Oct-09,1
790,869,2014-Apr-20,1
234,219,2012-Sep-28,2
877,1100,2013-Feb-20,1
370,1622,2015-Jan-12,1
1239,1345,2014-Dec-09,6
342,335,2013-Jan-20,1
357,1467,2012-Oct-30,6
743,875,2014-Mar-28,1
697,702,2014-Apr-07,1
1328,207,2013-Nov-01,1
790,1312,2012-Dec-03,3
702,712,2013-Feb-06,1
693,727,2012-Nov-20,2
1069,1285,2013-May-16,1
858,499,2014-Mar-24,1
827,859,2013-Nov-19,1
478,807,2013-Apr-25,1
799,838,2014-Jan-06,2
204,257,2012-Oct-28,1
726,740,2013-Mar-13,3
258,259,2015-Jun-30,1
1529,1738,2012-Dec-23,2
775,689,2013-Jul-10,5
219,223,2014-Sep-30,1
869,774,2014-Oct-06,1
1530,1543,2015-Aug-17,1
67,71,2012-Dec-15,1
431,421,2014-Jun-10,1
771,757,2014-May-31,2
435,670,2012-Jun-04,1
1011,1015,2013-Aug-30,1
775,731,2011-Apr-09,4
1069,1300,2012-Oct-08,1
335,399,2014-Dec-03,1
197,231,2012-Nov-21,1
578,714,2014-Jun-04,2
885,1686,2014-Jun-14,1
588,601,2015-Jan-18,1
1272,961,2013-Feb-27,6
879,817,2012-Nov-15,1
579,807,2013-Apr-28,2
1334,1326,2015-Jun-30,1
332,337,2014-Jan-01,1
682,421,2012-Oct-26,1
1311,1315,2012-Aug-01,1
958,1080,2015-Sep-25,1
555,682,2012-Oct-02,1
860,804,2013-Jun-08,1
806,759,2013-Oct-01,2
774,836,2012-Nov-28,1
344,356,2013-Oct-10,1
689,716,2014-Jun-30,1
703,696,2012-Nov-23,1
824,640,2012-Sep-17,2
398,404,2015-Jun-10,2
703,875,2014-Dec-17,1
71,57,2012-Jan-10,1
1654,1653,2014-May-28,1
689,697,2013-Mar-26,1
1366,208,2013-Apr-17,1
403,333,2015-Jan-26,1
605,572,2014-Apr-29,1
1177,1570,2013-Jun-10,1
1080,1285,2013-Jan-14,2
1467,356,2013-Sep-08,1
1600,704,2015-Jul-19,2
345,335,2015-Dec-17,1
57,67,2011-Oct-10,1
587,807,2013-Jan-02,1
798,1011,2013-Nov-07,2
635,686,2014-Dec-24,1
662,769,2013-Jan-03,1
418,1328,2013-Dec-02,1
912,578,2013-Oct-20,3
1055,572,2013-Dec-18,1
1317,209,2014-Feb-22,1
572,927,2013-Feb-19,1
693,740,2014-Dec-28,4
1379,1345,2013-Nov-14,2
39,38,2013-Jul-07,3
1001,1117,2013-Jan-13,2
80,93,2013-Aug-06,1
263,1046,2014-Dec-01,2
959,406,2012-Oct-09,1
344,357,2014-Apr-01,1
332,335,2015-Jan-28,1
257,203,2013-Apr-24,2
731,916,2012-Oct-01,1
672,1053,2012-Dec-30,1
1065,569,2013-Oct-23,1
57,58,2013-Jun-07,1
333,331,2013-Apr-07,1
204,157,2015-Jun-11,1
775,806,2013-Mar-19,1
1135,1458,2012-Sep-07,1
653,30,2013-Jul-18,2
1246,1011,2013-Jun-01,1
762,746,2014-Jun-14,1
538,807,2013-May-06,9
693,757,2012-Oct-16,7
609,583,2015-May-28,1
1219,811,2012-Dec-24,1
1255,1251,2014-Sep-09,1
1662,1736,2014-Sep-07,1
533,421,2013-Dec-02,2
649,648,2012-Nov-04,1
57,64,2012-Jan-06,3
1001,1000,2012-Nov-01,2
1171,1178,2014-May-18,1
724,689,2014-Mar-09,1
1270,1314,2015-Jan-17,1
340,339,2012-Nov-02,1
344,339,2012-Oct-19,2
161,1332,2013-Mar-19,1
976,691,2013-Jun-04,3
593,824,2013-Dec-03,1
226,233,2013-Jan-05,2
1011,1006,2012-Oct-15,10
959,38,2013-Mar-25,1
709,741,2013-Mar-26,1
259,1154,2015-Jan-13,2
1011,1006,2013-Sep-26,1
215,220,2014-Apr-26,2
96,84,2013-Oct-10,1
694,806,2015-Jan-30,1
1239,1243,2013-Oct-16,1
211,241,2013-Jul-23,1
619,1376,2013-Mar-27,2
876,759,2011-Dec-31,1
635,626,2012-Oct-12,3
263,161,2013-May-24,7
1300,1301,2014-Nov-24,1
213,219,2013-Feb-27,1
1112,1022,2012-Oct-25,1
693,945,2013-Jun-15,2
332,1467,2015-Jul-25,1
1467,393,2013-Nov-12,1
413,335,2013-Sep-15,1
693,916,2014-Jun-22,1
697,758,2012-Oct-14,3
638,333,2013-Feb-27,1
1088,263,2013-Nov-03,6
1731,632,2014-May-24,1
563,593,2015-Feb-18,1
736,689,2012-Nov-01,1
342,340,2014-Oct-31,1
406,509,2015-Aug-23,1
869,845,2015-Jun-02,1
1549,1660,2012-Nov-28,1
734,1600,2012-Oct-01,4
337,403,2014-May-27,1
762,693,2013-May-31,1
158,157,2015-May-14,1
716,884,2013-Jun-21,1
149,376,2015-Feb-08,2
1332,263,2012-Nov-06,2
213,225,2012-Nov-26,1
875,806,2015-Dec-01,1
176,175,2013-Sep-16,1
225,234,2013-Apr-17,2
1453,1376,2014-Dec-03,1
1022,1246,2013-Feb-19,2
536,835,2012-Sep-14,1
1311,1386,2014-Dec-31,1
875,709,2013-Apr-07,1
227,213,2015-Mar-29,1
685,416,2014-Jun-29,1
1055,605,2015-Mar-27,1
909,579,2015-Sep-15,1
835,536,2012-Oct-31,2
1020,1006,2013-Jul-11,5
824,1376,2014-Jan-01,1
798,1006,2015-Mar-14,1
219,234,2012-Nov-08,11
942,857,2013-Jan-28,5
1072,1226,2014-Oct-22,1
159,1053,2012-Oct-06,2
1575,1574,2014-Dec-22,1
877,1051,2012-Oct-12,1
817,859,2014-Jan-18,1
1600,875,2014-Apr-07,1
685,416,2015-Mar-03,2
616,595,2013-Jun-17,1
179,193,2013-Jan-25,6
1650,1527,2014-May-14,1
869,815,2012-Oct-14,3
1061,597,2015-Jul-02,1
798,1022,2012-Sep-25,1
357,1465,2015-Jan-03,1
1037,586,2013-Mar-20,1
638,1467,2012-Nov-28,4
815,1085,2013-Oct-16,1
612,584,2015-Jun-29,1
664,533,2011-Oct-04,1
1545,1549,2012-Oct-07,2
171,189,2013-Sep-17,1
606,572,2015-Jan-11,1
189,179,2012-Nov-21,8
757,759,2013-Dec-19,5
689,702,2013-Mar-08,1
220,219,2013-May-30,3
233,219,2015-Feb-04,1
1467,339,2014-Oct-27,2
1101,798,2013-Sep-21,1
226,220,2013-Jun-02,11
818,640,2015-Dec-16,1
572,600,2013-Apr-26,1
1729,1209,2012-Oct-15,2
208,204,2014-Sep-13,1
1101,1120,2015-May-28,2
693,771,2015-Jul-29,1
894,499,2013-Apr-13,7
184,1676,2014-Dec-22,1
869,774,2013-Apr-11,1
740,876,2013-Oct-26,2
223,222,2014-Jun-25,1
701,709,2014-May-19,1
1239,1710,2013-Dec-12,2
592,619,2015-Feb-25,1
998,523,2012-Dec-02,1
579,807,2012-Dec-18,3
1326,1458,2015-Oct-31,1
1017,575,2012-May-22,7
765,788,2015-Feb-08,1
1534,1648,2015-Feb-19,1
743,771,2013-May-03,1
1103,1020,2014-Mar-19,1
838,994,2015-Apr-19,2
1379,1416,2013-Oct-21,1
909,578,2014-Sep-17,1
663,684,2014-Jun-20,1
587,976,2015-Jan-15,1
82,80,2013-Nov-22,2
1094,591,2012-Nov-29,1
1458,207,2015-Apr-17,1
399,335,2014-Dec-27,1
1332,203,2015-Sep-10,1
1006,1009,2014-Nov-01,1
709,780,2013-Dec-13,1
344,357,2016-Jan-10,1
257,203,2013-May-09,1
600,605,2015-Apr-24,3
259,1053,2012-Dec-26,1
219,185,2012-Oct-16,1
604,1055,2015-Jun-22,1
769,655,2013-Feb-05,5
345,399,2015-Dec-19,1
207,1143,2014-Oct-29,1
1015,1011,2015-Dec-02,1
737,916,2015-Jul-28,1
177,179,2013-Aug-25,1
342,335,2013-Dec-01,1
1659,374,2015-Feb-11,1
869,765,2013-Oct-25,1
884,713,2013-Feb-09,11
679,423,2012-Oct-22,1
57,58,2014-Jun-07,7
1158,1017,2013-Mar-16,13
579,909,2013-Oct-12,1
828,1657,2014-Feb-13,1
1577,1413,2013-Mar-17,1
909,933,2013-Apr-10,1
57,67,2013-Jan-27,1
592,619,2014-Jan-15,1
337,351,2012-Dec-17,1
859,1061,2013-Dec-05,1
1678,223,2013-Nov-02,1
1680,1170,2013-May-28,1
84,82,2014-Jun-24,1
693,916,2013-Dec-21,1
883,1634,2013-Nov-13,1
693,876,2013-Sep-26,3
749,774,2015-Jun-14,4
1331,159,2012-Nov-30,1
215,241,2014-Nov-21,1
807,706,2013-Jan-13,1
431,656,2014-Oct-01,1
737,730,2014-Jun-21,1
126,444,2013-Dec-14,1
818,1037,2014-Apr-06,1
689,875,2013-Aug-23,1
161,1334,2014-Apr-23,1
1036,998,2015-Apr-26,1
945,693,2013-Feb-23,6
1053,1366,2012-Sep-22,3
757,1600,2014-Apr-02,4
1634,1063,2013-Aug-08,2
1139,1112,2013-Jun-20,1
775,737,2014-Jun-28,1
731,916,2012-Nov-25,2
1331,1088,2013-Oct-02,1
342,403,2013-Oct-14,1
703,696,2014-Jun-17,5
774,749,2015-Dec-04,1
1135,263,2013-Jun-11,1
331,1468,2014-Jun-19,2
607,575,2014-Jan-15,2
234,219,2012-Oct-21,5
606,1038,2013-Nov-03,1
1022,1102,2012-Nov-08,8
233,228,2013-Mar-21,1
775,740,2012-Nov-20,2
572,581,2015-Feb-17,1
687,876,2015-Jul-03,1
207,1458,2015-May-11,1
1170,1729,2014-Jan-13,4
1115,1097,2014-Jul-19,1
469,1560,2012-Nov-20,3
1135,205,2013-Jan-10,1
909,579,2013-Jun-07,1
1272,1300,2015-Jul-21,1
764,869,2013-Jun-04,5
1366,259,2015-Apr-03,1
734,806,2012-Dec-17,1
1053,204,2014-Jan-10,1
876,759,2012-Oct-21,1
57,67,2010-Nov-12,4
234,223,2013-Dec-20,1
702,736,2012-Nov-01,1
1314,1266,2013-Jun-01,4
67,71,2011-Apr-23,1
71,67,2010-Nov-10,1
281,300,2013-Jul-18,1
161,263,2013-May-24,6
263,208,2013-Jul-09,2
696,730,2012-Dec-19,2
782,1312,2012-Nov-07,1
712,740,2012-Dec-09,3
189,180,2012-Oct-25,6
207,161,2012-Oct-23,2
864,970,2013-Jan-04,1
757,1600,2013-Nov-24,1
699,706,2013-Apr-04,2
339,337,2013-Apr-18,1
701,916,2014-Mar-27,2
1112,1022,2014-Feb-18,1
875,806,2013-May-08,3
664,684,2015-May-24,3
703,876,2013-Oct-26,7
807,642,2012-Dec-04,1
67,57,2010-Oct-22,2
1112,1103,2013-Jan-21,1
563,820,2013-Jun-07,2
1037,817,2012-Oct-24,1
1272,1081,2014-May-29,1
39,269,2015-Jul-03,1
393,437,2012-Dec-31,1
724,1600,2012-Oct-17,1
764,788,2013-Sep-03,1
357,1457,2014-Aug-14,1
1457,335,2014-Jun-23,1
709,731,2013-Feb-12,3
824,1453,2013-Oct-12,1
1223,1015,2014-May-05,1
234,225,2013-Jul-01,2
64,57,2011-Sep-07,1
912,579,2013-Jan-07,3
161,207,2013-Feb-16,1
1117,1101,2013-Apr-27,1
862,570,2014-Jan-01,1
1112,798,2014-Jan-05,3
713,731,2013-Nov-02,1
702,875,2015-Jan-18,1
335,1457,2014-Sep-02,3
1312,869,2013-Feb-05,2
798,1022,2012-Nov-18,1
788,793,2013-Jun-20,1
1135,1458,2013-Feb-28,1
578,632,2013-Mar-08,1
740,689,2014-Oct-30,1
1198,1729,2014-Dec-16,1
69,67,2014-Mar-18,1
736,709,2014-Aug-02,1
204,1047,2013-Jul-11,1
602,589,2013-May-31,11
790,808,2012-Dec-03,1
782,788,2012-Oct-23,1
1240,1315,2014-Dec-02,3
258,1366,2015-May-05,1
1147,740,2014-May-22,1
1022,1138,2013-Nov-20,2
591,1029,2014-Aug-29,2
93,84,2014-Jul-11,4
30,655,2014-Apr-13,1
741,696,2013-May-13,2
1069,1064,2013-Jan-04,3
845,751,2014-Jun-25,1
184,227,2013-Dec-17,1
374,1659,2012-May-25,3
706,807,2013-Jan-12,5
356,344,2012-Nov-19,1
176,171,2013-May-24,1
1248,1239,2014-Oct-13,1
335,334,2013-Dec-09,1
726,693,2014-Jul-19,1
1523,1549,2012-Oct-19,1
712,916,2014-Jun-22,1
640,593,2013-Nov-06,1
847,862,2014-Jul-27,2
1457,1456,2012-Oct-27,1
701,875,2014-Jun-13,1
1312,790,2013-Jun-19,1
1320,262,2013-Jul-26,1
548,421,2014-Jan-18,1
976,691,2011-Nov-24,1
203,1328,2013-Jul-13,1
689,725,2015-Dec-21,1
205,259,2015-Jan-29,1
895,655,2013-May-18,1
244,226,2013-Jun-12,1
694,736,2013-Jun-08,1
857,949,2012-Nov-26,6
759,709,2013-Mar-04,1
588,627,2013-Feb-17,1
212,1678,2014-Oct-14,1
684,659,2013-Aug-03,1
689,709,2013-Feb-02,1
696,737,2014-Oct-29,1
258,1366,2015-Apr-28,1
703,724,2013-Nov-10,4
548,421,2014-Jun-02,6
572,601,2012-Sep-25,3
693,945,2012-Sep-21,4
741,884,2013-Jan-05,1
1317,203,2014-May-10,1
720,758,2014-May-24,1
864,1063,2012-Nov-18,2
758,694,2012-Dec-21,2
564,619,2014-Jul-10,1
170,171,2013-May-05,1
100,110,2014-Jun-28,3
334,331,2015-Sep-18,1
509,406,2015-Jan-01,1
1006,1015,2015-Jun-09,1
806,1452,2013-Nov-05,1
593,563,2012-Oct-28,1
212,184,2013-Nov-02,1
869,751,2013-May-26,1
223,219,2014-May-03,1
499,1233,2014-Jan-11,2
773,751,2015-Sep-14,1
634,706,2013-Jun-04,2
1526,1738,2013-Sep-13,1
1600,771,2013-Nov-06,1
1339,1577,2015-May-21,11
600,606,2015-Apr-16,1
158,263,2014-Apr-25,1
403,393,2013-Jan-10,5
642,686,2013-Nov-13,2
821,790,2015-May-02,1
393,330,2015-Jul-11,1
721,709,2014-Apr-09,1
642,690,2013-Aug-18,4
916,703,2013-Jun-26,2
185,234,2013-Apr-02,2
44,47,2015-May-12,2
159,1328,2013-Jul-05,1
838,994,2014-Mar-02,5
206,1154,2013-Aug-04,1
757,746,2012-Oct-13,12
1059,606,2014-Jan-20,1
1332,161,2014-Apr-23,2
613,1032,2012-Oct-30,2
1525,1652,2015-Jun-21,1
418,1053,2012-Nov-07,1
603,460,2015-Sep-22,1
184,227,2014-Sep-13,1
1239,1710,2013-Feb-15,2
704,702,2012-Nov-04,1
1457,1468,2015-Dec-22,1
71,64,2011-Jan-05,7
225,213,2013-May-18,2
1083,1105,2013-Mar-20,1
583,881,2015-Jul-26,1
721,741,2012-Nov-16,2
696,916,2014-Oct-29,1
734,1600,2012-Oct-30,2
335,332,2015-Oct-22,1
406,394,2013-Apr-06,3
595,576,2012-Oct-03,1
1526,1650,2014-May-18,1
342,334,2013-Oct-17,1
538,807,2015-Jul-13,2
1038,572,2014-Feb-05,1
749,774,2013-Dec-08,1
736,771,2012-Nov-25,6
790,751,2013-Jan-16,1
619,1376,2013-Mar-28,8
1272,1668,2015-Apr-25,1
869,782,2014-May-11,1
226,170,2014-Sep-21,3
750,879,2013-Dec-26,2
1061,609,2014-Jul-06,2
601,572,2016-Jan-16,1
418,1088,2014-Sep-30,1
1006,1020,2013-May-29,7
1006,1011,2013-Apr-04,9
349,287,2014-Oct-17,1
259,208,2013-Jul-27,1
689,746,2015-Jan-18,1
220,215,2014-Jun-15,1
604,601,2015-Jan-27,1
731,762,2012-Nov-20,1
538,807,2013-May-26,7
1386,1577,2013-Jan-19,1
687,689,2013-Sep-28,1
1312,774,2013-Jan-08,3
344,400,2012-Sep-12,2
403,334,2014-Dec-28,1
563,592,2012-Dec-16,3
281,297,2011-Sep-29,1
875,693,2013-Sep-16,1
287,317,2015-Aug-02,1
205,203,2013-Jan-19,4
1239,1311,2015-Aug-13,1
1676,184,2013-Sep-25,1
721,687,2014-Jun-21,3
731,1600,2013-Feb-04,1
203,257,2015-Jan-31,1
38,39,2013-Jun-09,1
1397,43,2014-Dec-21,1
709,716,2014-Feb-03,1
215,170,2014-Sep-18,3
916,689,2015-Jun-25,1
203,205,2014-Mar-04,1
191,184,2012-Nov-16,1
901,713,2013-May-18,3
564,817,2015-Jul-03,1
570,847,2012-Nov-20,1
709,876,2013-May-31,3
713,780,2013-May-02,10
1656,1736,2012-Nov-19,3
734,1600,2015-Jan-05,1
975,537,2015-Mar-25,2
740,945,2013-Dec-14,3
788,790,2013-Jan-06,2
875,876,2014-Jun-06,1
1379,1345,2013-Apr-08,3
638,351,2012-Dec-23,1
234,231,2013-Jan-13,1
595,592,2012-Oct-23,1
1006,1015,2013-Oct-04,8
701,730,2013-Oct-15,1
1573,1172,2014-Jan-04,1
361,433,2014-Nov-06,4
1015,1011,2013-Aug-29,3
1659,374,2014-Nov-12,2
93,110,2013-Oct-05,1
1678,220,2013-May-22,1
589,1376,2012-Oct-11,2
234,1678,2013-Apr-23,2
783,768,2013-Jul-21,1
605,572,2014-Dec-30,1
945,689,2015-Jul-05,2
1600,724,2013-Oct-08,1
420,684,2014-Oct-03,1
949,805,2012-Nov-08,1
1032,601,2012-Oct-22,3
344,1468,2015-Jun-03,1
1015,1001,2013-Dec-13,1
642,578,2013-Apr-28,2
403,333,2014-Nov-24,1
709,741,2012-Nov-25,4
1068,1285,2013-Jul-15,1
759,702,2015-Oct-06,1
876,702,2014-Aug-28,1
418,257,2013-Aug-20,2
190,241,2015-Feb-07,1
1147,1452,2014-Jul-24,1
995,1125,2013-Jun-01,2
790,764,2015-Jul-14,1
340,330,2012-Nov-26,1
1710,1305,2013-Feb-08,1
1112,798,2013-Jul-16,1
344,356,2012-Sep-09,1
639,337,2012-Oct-31,1
815,836,2012-Oct-11,5
212,1678,2013-May-01,1
731,775,2011-Feb-22,1
421,548,2014-Mar-12,1
945,875,2014-Jun-13,1
1006,1011,2014-Aug-29,1
296,1622,2014-Sep-25,1
356,638,2012-Nov-19,1
619,592,2012-Nov-29,1
997,444,2014-Apr-14,1
393,638,2013-Feb-20,1
702,757,2013-May-18,1
1154,259,2015-Mar-31,2
589,599,2012-Oct-10,6
605,598,2014-Jun-11,1
548,416,2013-May-13,2
293,278,2014-Dec-03,1
229,227,2014-Apr-18,1
1044,814,2015-Jan-26,1
536,835,2013-Aug-14,2
736,1147,2015-Sep-07,1
593,640,2014-Nov-04,2
220,215,2013-Jun-22,1
161,1053,2013-Sep-19,1
815,790,2012-Dec-15,1
704,709,2014-May-24,4
