id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
7191,918,808,918,12,12,12,unk,3,Black,F
8608,919,unk,919,12,12,unk,unk,3,Black,M
9336,unk,unk,unk,12,unk,unk,unk,2,unk,M
5539,919,807,919,12,12,12,unk,3,Black,F
9344,unk,unk,unk,12,12,12,12,2,unk,F
5407,919,807,919,12,12,12,unk,3,Black,M
7434,918,808,918,12,12,unk,unk,3,Black,M
5363,919,807,919,12,12,12,12,3,Black,M
9333,unk,unk,unk,12,unk,unk,unk,3,unk,F
9097,unk,unk,918,12,unk,unk,unk,3,Black,F
6284,918,808,918,12,12,12,12,3,Black,M
8817,918,unk,918,12,12,12,unk,3,unk,F
7443,918,808,918,12,12,12,12,3,Black,M
8579,918,unk,918,12,12,12,12,3,White,F
8583,918,unk,12,12,12,12,unk,3,Black,F
8645,919,unk,919,12,12,unk,unk,3,Black,M
8524,918,unk,918,12,unk,unk,unk,3,unk,M
5369,919,807,919,12,12,12,unk,3,Black,F
5420,919,807,919,12,unk,unk,unk,3,unk,M
7194,918,808,918,12,12,12,unk,3,Other,F
5503,919,807,919,12,12,12,unk,3,Black,M
8820,unk,unk,919,12,12,unk,unk,3,unk,F
5589,919,807,919,12,unk,unk,unk,3,unk,M
8051,701,unk,13,13,13,unk,unk,1,Black,F
5946,unk,unk,13,13,13,unk,unk,1,Black,M
9701,unk,unk,unk,13,13,unk,unk,2,White,M
9702,unk,unk,unk,13,unk,unk,unk,1,unk,F
409,701,601,701,801,801,unk,unk,1,White,F
183,701,601,701,801,801,unk,unk,1,White,M
3903,unk,604,701,801,801,unk,unk,1,White,M
630,701,601,701,801,801,unk,unk,1,White,F
633,701,601,701,801,801,unk,unk,1,White,M
9453,unk,unk,unk,801,801,unk,unk,1,White,M
9448,unk,unk,unk,801,unk,unk,unk,1,unk,M
114,701,601,701,801,801,unk,unk,1,White,M
189,701,601,701,801,801,unk,unk,1,White,F
414,701,601,701,801,801,unk,unk,1,White,M
112,701,601,701,801,801,unk,unk,1,White,M
3193,706,606,701,801,804,unk,unk,1,White,F
635,701,601,701,801,801,unk,unk,1,unk,M
72,701,601,701,801,801,unk,unk,1,Other,M
487,701,601,701,801,801,unk,unk,1,Black,F
406,701,601,701,801,801,unk,unk,1,White,F
322,701,601,701,801,801,unk,unk,1,White,F
99,701,601,701,801,801,unk,unk,1,White,M
396,701,601,701,801,801,unk,unk,1,White,F
477,701,601,701,801,801,unk,unk,1,White,F
280,701,601,701,801,801,unk,unk,1,White,F
8100,unk,unk,701,801,801,unk,unk,1,White,F
9458,unk,unk,unk,801,unk,unk,unk,1,White,M
181,701,601,701,801,801,unk,unk,1,Black,M
120,701,601,701,801,801,unk,unk,1,White,M
626,701,601,701,801,801,unk,unk,1,White,M
479,701,601,701,801,801,unk,unk,1,White,F
397,701,601,701,801,801,unk,unk,1,Black,F
282,701,601,701,801,801,unk,unk,1,White,M
463,701,601,701,801,801,unk,unk,1,White,F
8032,701,unk,701,801,801,unk,unk,1,unk,M
9445,unk,unk,unk,801,801,unk,unk,1,unk,F
693,701,601,701,801,801,unk,unk,1,White,F
3,701,601,701,801,801,unk,unk,1,White,M
272,701,601,701,801,801,unk,unk,1,Other,F
2434,702,602,702,801,801,unk,unk,1,unk,F
3779,706,606,706,801,801,unk,unk,1,unk,M
9039,unk,unk,701,801,801,unk,unk,1,White,M
176,701,601,701,801,801,unk,unk,1,White,F
493,701,601,701,801,801,unk,unk,1,White,F
9637,unk,unk,unk,801,801,unk,unk,1,White,M
9460,unk,unk,unk,801,unk,unk,unk,1,White,F
331,701,601,701,801,801,unk,unk,1,White,F
8047,701,unk,701,801,801,unk,unk,1,Other,M
266,701,601,701,801,801,unk,unk,1,White,F
283,701,601,701,801,801,unk,unk,1,White,M
12,701,601,701,801,801,unk,unk,1,White,M
102,701,601,701,801,801,unk,unk,1,Black,M
265,701,601,701,801,801,unk,unk,1,White,M
482,701,601,701,801,801,unk,unk,1,White,M
57,701,601,701,801,801,unk,unk,1,White,M
338,701,601,701,801,801,unk,unk,1,White,M
627,701,601,701,801,801,unk,unk,1,White,M
464,701,601,701,801,801,unk,unk,1,White,F
473,701,601,701,801,801,unk,unk,1,White,M
275,701,601,701,801,801,unk,unk,1,Black,F
400,701,601,701,801,801,unk,unk,1,White,F
8,701,601,701,801,801,unk,unk,1,White,F
325,701,601,701,801,801,unk,unk,1,White,F
15,701,601,701,801,801,unk,unk,1,White,F
278,701,601,701,801,801,unk,unk,1,White,M
465,701,601,701,801,801,unk,unk,1,Black,F
1,701,601,701,801,801,unk,unk,1,White,F
9449,unk,unk,unk,801,801,unk,unk,1,White,M
9452,unk,unk,unk,801,801,unk,unk,1,White,F
105,701,601,701,801,801,unk,unk,1,White,M
101,701,601,701,801,801,unk,unk,1,White,M
271,701,601,701,801,801,unk,unk,1,White,M
332,701,601,701,801,801,unk,unk,1,White,F
2,701,601,701,801,801,unk,unk,1,Other,F
9,701,601,701,801,801,unk,unk,1,Black,F
5,701,601,701,801,801,unk,unk,1,White,M
288,701,601,701,801,801,unk,unk,1,Other,F
11,701,601,701,801,801,unk,unk,1,White,F
720,701,601,701,801,801,unk,unk,1,White,M
478,701,601,701,801,801,unk,unk,1,White,M
65,701,601,701,801,801,unk,unk,1,White,F
